timestamp,x,y,left_button_holding,right_button_holding
1478943238.284336,0,0,False,False
1478943238.899621,0,0,False,False
1478943238.899621,0,0,False,False
1478943238.899621,0,0,False,False
1478943238.915216,0,0,False,False
1478943238.915216,0,0,False,False
1478943238.915216,0,0,False,False
1478943239.299412,2,-4,False,False
1478943239.299412,7,-14,False,False
1478943239.31504,10,-25,False,False
1478943239.31504,11,-42,False,False
1478943239.336203,11,-66,False,False
1478943239.336676,8,-96,False,False
1478943239.336676,3,-136,False,False
1478943239.35253,1,-178,False,False
1478943239.368202,-2,-223,False,False
1478943239.368202,-4,-263,False,False
1478943239.383834,-4,-295,False,False
1478943239.383834,-4,-309,False,False
1478943239.614816,-5,-310,False,False
1478943239.614816,-6,-310,False,False
1478943239.632003,-11,-314,False,False
1478943239.636485,-17,-319,False,False
1478943239.636485,-22,-323,False,False
1478943239.652219,-23,-324,False,False
1478943239.652219,-27,-328,False,False
1478943239.667844,-31,-333,False,False
1478943239.667844,-34,-336,False,False
1478943239.683469,-37,-340,False,False
1478943239.683469,-38,-342,False,False
1478943239.699094,-39,-343,False,False
1478943239.699094,-39,-344,False,False
1478943239.714719,-41,-346,False,False
1478943239.714719,-41,-347,False,False
1478943239.735936,-41,-349,False,False
1478943239.736398,-42,-352,False,False
1478943239.75219,-43,-355,False,False
1478943239.75219,-44,-358,False,False
1478943239.767816,-46,-362,False,False
1478943239.767816,-47,-365,False,False
1478943239.783441,-48,-368,False,False
1478943239.783441,-49,-369,False,False
1478943239.799066,-51,-372,False,False
1478943239.814695,-51,-373,False,False
1478943239.814695,-51,-374,False,False
1478943239.832196,-52,-375,False,False
1478943239.836299,-53,-376,False,False
1478943239.852068,-54,-378,False,False
1478943239.852068,-55,-379,False,False
1478943239.867693,-56,-380,False,False
1478943239.867693,-57,-381,False,False
1478943239.883318,-58,-384,False,False
1478943239.883318,-58,-387,False,False
1478943239.898945,-59,-390,False,False
1478943239.898945,-61,-394,False,False
1478943239.914568,-61,-394,False,False
1478943239.914568,-61,-394,False,False
1478943239.914568,-61,-394,False,False
1478943239.914568,-63,-398,False,False
1478943239.914568,-64,-402,False,False
1478943239.914568,-64,-402,False,False
1478943239.914568,-64,-402,False,False
1478943239.930143,-64,-402,False,False
1478943239.936199,-67,-405,False,False
1478943239.936199,-68,-407,False,False
1478943239.952066,-72,-410,False,False
1478943239.967691,-73,-411,False,False
1478943240.014565,-74,-412,False,False
1478943240.032203,-76,-413,False,False
1478943240.036261,-78,-414,False,False
1478943240.036261,-81,-415,False,False
1478943240.051976,-83,-416,False,False
1478943240.051976,-85,-416,False,False
1478943240.067654,-86,-416,False,False
1478943240.067654,-87,-416,False,False
1478943240.098905,-88,-416,False,False
1478943240.236195,-90,-416,False,False
1478943240.251964,-91,-416,False,False
1478943240.314465,-92,-416,False,False
1478943240.351926,-92,-416,True,False
1478943240.432116,-92,-416,False,False
1478943240.583571,-93,-416,False,False
1478943240.599197,-95,-416,False,False
1478943240.631969,-96,-416,False,False
1478943240.636973,-98,-415,False,False
1478943240.636973,-99,-413,False,False
1478943240.652615,-101,-411,False,False
1478943240.652615,-102,-408,False,False
1478943240.668264,-103,-404,False,False
1478943240.668264,-104,-399,False,False
1478943240.683864,-104,-398,False,False
1478943240.699531,-104,-391,False,False
1478943240.699531,-101,-378,False,False
1478943240.715116,-99,-363,False,False
1478943240.715116,-95,-346,False,False
1478943240.735823,-89,-325,False,False
1478943240.736767,-85,-308,False,False
1478943240.736767,-81,-295,False,False
1478943240.75247,-75,-267,False,False
1478943240.768121,-66,-238,False,False
1478943240.768121,-60,-208,False,False
1478943240.783748,-60,-205,False,False
1478943240.783748,-53,-188,False,False
1478943240.799371,-46,-175,False,False
1478943240.799371,-45,-171,False,False
1478943240.815,-44,-168,False,False
1478943240.815,-40,-165,False,False
1478943240.832128,-40,-162,False,False
1478943240.837119,-39,-161,False,False
1478943240.837119,-38,-158,False,False
1478943240.915303,-38,-158,False,False
1478943240.915303,-38,-158,False,False
1478943240.915303,-38,-158,False,False
1478943240.932463,-38,-158,False,False
1478943240.93294,-38,-158,False,False
1478943240.93294,-38,-158,False,False
1478943241.914535,19,-158,False,False
1478943241.914535,19,-158,False,False
1478943241.914535,19,-158,False,False
1478943241.914535,19,-158,False,False
1478943241.936207,19,-158,False,False
1478943241.936207,19,-158,False,False
1478943241.936207,19,-158,False,False
1478943242.032136,19,-158,False,False
1478943242.151867,28,-158,False,False
1478943242.214368,28,-158,False,False
1478943242.267452,85,-158,False,False
1478943242.383018,85,-158,False,False
1478943242.636008,100,-158,False,False
1478943242.698652,100,-158,False,False
1478943242.81424,104,-158,False,False
1478943242.914202,104,-158,False,False
1478943242.914202,104,-158,False,False
1478943242.914202,104,-158,False,False
1478943242.914202,104,-158,False,False
1478943242.935841,104,-158,False,False
1478943242.935841,104,-158,False,False
1478943242.935841,104,-158,False,False
1478943242.998486,114,-158,False,False
1478943243.067117,114,-158,False,False
1478943243.235584,158,-158,False,False
1478943243.351356,158,-158,False,False
1478943243.435548,170,-158,False,False
1478943243.482569,170,-158,False,False
1478943243.598156,192,-158,False,False
1478943243.682807,192,-158,False,False
1478943243.813517,236,-158,False,False
1478943243.897854,236,-158,False,False
1478943243.932168,236,-158,False,False
1478943243.932613,236,-158,False,False
1478943243.93312,236,-158,False,False
1478943243.935144,236,-158,False,False
1478943243.935144,236,-158,False,False
1478943243.935144,236,-158,False,False
1478943244.032066,253,-158,False,False
1478943244.098096,253,-158,False,False
1478943244.213244,271,-158,False,False
1478943244.26631,271,-158,False,False
1478943244.450606,294,-158,False,False
1478943244.534754,294,-158,False,False
1478943244.634696,338,-158,False,False
1478943244.712966,338,-158,False,False
1478943244.834574,350,-158,False,False
1478943244.881594,350,-158,False,False
1478943244.934606,350,-158,False,False
1478943244.934606,350,-158,False,False
1478943244.934606,350,-158,False,False
1478943244.934606,350,-158,False,False
1478943244.934606,350,-158,False,False
1478943244.934606,350,-158,False,False
1478943245.034633,367,-158,False,False
1478943245.09728,367,-158,False,False
1478943245.235039,411,-158,False,False
1478943245.297603,411,-158,False,False
1478943245.413167,434,-158,False,False
1478943245.466214,434,-158,False,False
1478943245.53478,445,-158,False,False
1478943245.566148,445,-158,False,False
1478943245.666137,453,-158,False,False
1478943245.750538,453,-158,False,False
1478943245.866187,497,-158,False,False
1478943245.934818,497,-158,False,False
1478943245.934818,497,-158,False,False
1478943245.934818,497,-158,False,False
1478943245.934818,497,-158,False,False
1478943245.950531,497,-158,False,False
1478943245.950531,497,-158,False,False
1478943245.950531,497,-158,False,False
1478943246.066454,511,-158,False,False
1478943246.113328,511,-158,False,False
1478943246.181989,519,-158,False,False
1478943246.235383,519,-158,False,False
1478943246.334819,547,-158,False,False
1478943246.397464,547,-158,False,False
1478943246.566138,547,-158,False,False
1478943246.566138,547,-158,False,False
1478943246.566138,547,-158,False,False
1478943246.566138,547,-158,False,False
1478943246.566138,547,-158,False,False
1478943246.566138,547,-158,False,False
1478943246.581764,547,-158,False,False
1478943246.581764,547,-158,False,False
1478943246.581764,547,-158,False,False
1478943246.581764,547,-158,False,False
1478943246.581764,547,-158,False,False
1478943246.581764,547,-158,False,False
1478943246.581764,547,-158,False,False
1478943246.597353,552,-158,False,False
1478943246.613015,552,-158,False,False
1478943246.613015,552,-158,False,False
1478943246.613015,552,-158,False,False
1478943246.629704,552,-158,False,False
1478943246.629704,552,-158,False,False
1478943246.630179,552,-158,False,False
1478943246.634653,552,-158,False,False
1478943246.634653,552,-158,False,False
1478943246.634653,552,-158,False,False
1478943246.650378,552,-158,False,False
1478943246.650378,552,-158,False,False
1478943246.650378,552,-158,False,False
1478943246.650378,552,-158,False,False
1478943246.650378,552,-158,False,False
1478943246.650378,552,-158,False,False
1478943246.650378,552,-158,False,False
1478943246.650378,552,-158,False,False
1478943246.650378,552,-158,False,False
1478943246.650378,552,-158,False,False
1478943246.650378,552,-158,False,False
1478943246.650378,552,-158,False,False
1478943246.650378,552,-158,False,False
1478943246.650378,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.712899,552,-158,False,False
1478943246.728467,552,-158,False,False
1478943246.728467,552,-158,False,False
1478943246.728974,552,-158,False,False
1478943246.729484,552,-158,False,False
1478943246.729484,552,-158,False,False
1478943246.729978,552,-158,False,False
1478943246.730475,552,-158,False,False
1478943246.730475,552,-158,False,False
1478943246.730975,552,-158,False,False
1478943246.731475,552,-158,False,False
1478943246.731475,552,-158,False,False
1478943246.73198,552,-158,False,False
1478943246.73249,552,-158,False,False
1478943246.73249,552,-158,False,False
1478943246.732976,552,-158,False,False
1478943246.733477,552,-158,False,False
1478943246.733992,552,-158,False,False
1478943246.733992,552,-158,False,False
1478943246.734497,552,-158,False,False
1478943246.734497,552,-158,False,False
1478943246.734497,552,-158,False,False
1478943246.734497,552,-158,False,False
1478943246.734497,552,-158,False,False
1478943246.797088,552,-158,False,False
1478943246.797088,552,-158,False,False
1478943246.812656,552,-158,False,False
1478943246.86592,552,-158,False,False
1478943246.86592,570,-158,False,False
1478943246.86592,570,-158,False,False
1478943246.86592,570,-158,False,False
1478943246.86592,570,-158,False,False
1478943246.86592,570,-158,False,False
1478943246.86592,570,-158,False,False
1478943246.881487,570,-158,False,False
1478943246.881487,570,-158,False,False
1478943246.881487,570,-158,False,False
1478943246.881487,570,-158,False,False
1478943246.881487,570,-158,False,False
1478943246.881487,570,-158,False,False
1478943246.897134,570,-158,False,False
1478943246.897134,570,-158,False,False
1478943246.897134,570,-158,False,False
1478943246.934438,570,-158,False,False
1478943246.934438,570,-158,False,False
1478943246.934438,570,-158,False,False
1478943246.934438,570,-158,False,False
1478943246.950257,570,-158,False,False
1478943246.950257,570,-158,False,False
1478943246.950257,570,-158,False,False
1478943246.997188,570,-158,False,False
1478943246.997188,570,-158,False,False
1478943246.997188,570,-158,False,False
1478943246.997188,570,-158,False,False
1478943246.997188,570,-158,False,False
1478943246.997188,570,-158,False,False
1478943246.997188,570,-158,False,False
1478943246.997188,570,-158,False,False
1478943246.997188,570,-158,False,False
1478943247.012785,570,-158,False,False
1478943247.012785,570,-158,False,False
1478943247.012785,570,-158,False,False
1478943247.012785,570,-158,False,False
1478943247.012785,570,-158,False,False
1478943247.012785,570,-158,False,False
1478943247.03445,570,-158,False,False
1478943247.03445,570,-158,False,False
1478943247.03445,570,-158,False,False
1478943247.03445,570,-158,False,False
1478943247.03445,570,-158,False,False
1478943247.03445,570,-158,False,False
1478943247.03445,570,-158,False,False
1478943247.050457,570,-158,False,False
1478943247.050457,570,-158,False,False
1478943247.097387,570,-158,False,False
1478943247.097387,570,-158,False,False
1478943247.097387,570,-158,False,False
1478943247.097387,570,-158,False,False
1478943247.097387,570,-158,False,False
1478943247.097387,570,-158,False,False
1478943247.097387,570,-158,False,False
1478943247.097387,570,-158,False,False
1478943247.097387,570,-158,False,False
1478943247.097387,570,-158,False,False
1478943247.097387,570,-158,False,False
1478943247.097387,570,-158,False,False
1478943247.097387,574,-158,False,False
1478943247.097387,574,-158,False,False
1478943247.097387,574,-158,False,False
1478943247.097387,574,-158,False,False
1478943247.112965,574,-158,False,False
1478943247.112965,574,-158,False,False
1478943247.112965,574,-158,False,False
1478943247.112965,574,-158,False,False
1478943247.181986,574,-158,False,False
1478943247.334896,595,-158,False,False
1478943247.36629,595,-158,False,False
1478943247.36629,595,-158,False,False
1478943247.36629,595,-158,False,False
1478943247.381915,595,-158,False,False
1478943247.381915,595,-158,False,False
1478943247.381915,595,-158,False,False
1478943247.397541,595,-158,False,False
1478943247.397541,595,-158,False,False
1478943247.397541,595,-158,False,False
1478943247.397541,595,-158,False,False
1478943247.397541,595,-158,False,False
1478943247.397541,595,-158,False,False
1478943247.413109,595,-158,False,False
1478943247.413109,595,-158,False,False
1478943247.413109,595,-158,False,False
1478943247.413109,595,-158,False,False
1478943247.413109,595,-158,False,False
1478943247.413109,595,-158,False,False
1478943247.413109,595,-158,False,False
1478943247.413109,595,-158,False,False
1478943247.413109,595,-158,False,False
1478943247.413109,595,-158,False,False
1478943247.430326,595,-158,False,False
1478943247.430326,595,-158,False,False
1478943247.430828,595,-158,False,False
1478943247.432814,595,-158,False,False
1478943247.432814,595,-158,False,False
1478943247.433307,595,-158,False,False
1478943247.4338,595,-158,False,False
1478943247.4338,595,-158,False,False
1478943247.4338,595,-158,False,False
1478943247.434815,595,-158,False,False
1478943247.434815,595,-158,False,False
1478943247.434815,595,-158,False,False
1478943247.434815,595,-158,False,False
1478943247.550682,595,-158,False,False
1478943247.550682,595,-158,False,False
1478943247.550682,595,-158,False,False
1478943247.566256,602,-158,False,False
1478943247.650834,602,-158,False,False
1478943247.78212,602,-158,False,False
1478943247.78212,602,-158,False,False
1478943247.78212,602,-158,False,False
1478943247.851083,602,-158,False,False
1478943247.851083,602,-158,False,False
1478943247.866711,602,-158,False,False
1478943247.866711,602,-158,False,False
1478943247.866711,602,-158,False,False
1478943247.866711,602,-158,False,False
1478943247.934957,602,-158,False,False
1478943247.934957,602,-158,False,False
1478943247.934957,602,-158,False,False
1478943247.950699,602,-158,False,False
1478943247.950699,602,-158,False,False
1478943247.950699,602,-158,False,False
1478943248.013225,602,-158,False,False
1478943248.013225,602,-158,False,False
1478943248.013225,602,-158,False,False
1478943248.013225,602,-158,False,False
1478943248.013225,602,-158,False,False
1478943248.013225,602,-158,False,False
1478943248.013225,602,-158,False,False
1478943248.013225,602,-158,False,False
1478943248.013225,602,-158,False,False
1478943248.013225,602,-158,False,False
1478943248.013225,602,-158,False,False
1478943248.013225,602,-158,False,False
1478943248.032807,602,-158,False,False
1478943248.032807,602,-158,False,False
1478943248.033309,602,-158,False,False
